Movie Title,Description,Genres
Inception,A thief who enters dreams to steal secrets.,"['Sci-Fi', 'Thriller']"
Titanic,A tragic love story on a sinking ship.,"['Romance', 'Drama']"
The Avengers,Superheroes save the world from villains.,"['Action', 'Sci-Fi']"
Interstellar,A journey through space and time.,"['Sci-Fi', 'Drama']"
Joker,A deep dive into the psyche of a broken man.,"['Drama', 'Crime']"
The Dark Knight,A hero fights chaos in Gotham City.,"['Action', 'Thriller']"
Avatar,A battle for survival on an alien planet.,"['Sci-Fi', 'Adventure']"
Toy Story,Toys come to life and embark on adventures.,"['Animation', 'Family']"
Parasite,A clever social satire on class differences.,"['Drama', 'Thriller']"
Frozen,A magical tale of two royal sisters.,"['Animation', 'Fantasy']"
